Cust_ID,Activity,Date
CUS_121,Sign_Up,2024-04-24
CUS_121,Browse,2024-04-27
CUS_121,Add_to_Cart,2024-04-27
CUS_121,Browse,2024-04-29
CUS_121,Browse,2024-04-30
CUS_121,Browse,2024-05-04
CUS_121,Checkout,2024-05-05
CUS_121,Browse,2024-05-07
CUS_121,Browse,2024-05-09
CUS_121,Browse,2024-05-10
CUS_121,Browse,2024-05-12
CUS_122,Browse,2025-07-12
CUS_122,Browse,2025-07-18
CUS_122,Browse,2025-07-21
CUS_122,Browse,2025-07-22
CUS_122,Browse,2025-07-24
CUS_122,Browse,2025-07-28
CUS_122,Browse,2025-07-31
CUS_122,Browse,2025-08-03
CUS_122,Browse,2025-08-05
CUS_122,Browse,2025-08-07
CUS_123,Browse,2024-04-14
CUS_123,Browse,2024-04-19
CUS_123,Browse,2024-04-22
CUS_123,Browse,2024-04-25
CUS_123,Browse,2024-04-28
CUS_123,Browse,2024-04-29
CUS_123,Browse,2024-05-03
CUS_123,Browse,2024-05-04
CUS_123,Browse,2024-05-08
CUS_123,Browse,2024-05-09
CUS_124,Sign_Up,2025-01-05
CUS_124,Browse,2025-01-06
CUS_124,Add_to_Cart,2025-01-06
CUS_124,Browse,2025-01-08
CUS_124,Browse,2025-01-09
CUS_124,Browse,2025-01-11
CUS_124,Browse,2025-01-12
CUS_124,Browse,2025-01-16
CUS_124,Browse,2025-01-19
CUS_124,Browse,2025-01-23
CUS_124,Browse,2025-01-24
CUS_125,Sign_Up,2024-06-15
CUS_125,Browse,2024-06-17
CUS_125,Browse,2024-06-20
CUS_125,Browse,2024-06-22
CUS_125,Browse,2024-06-24
CUS_125,Browse,2024-06-26
CUS_125,Browse,2024-06-30
CUS_125,Browse,2024-07-04
CUS_125,Browse,2024-07-07
CUS_125,Browse,2024-07-09
CUS_126,Sign_Up,2024-02-27
CUS_126,Browse,2024-02-28
CUS_126,Browse,2024-03-02
CUS_126,Browse,2024-03-05
CUS_126,Browse,2024-03-06
CUS_126,Browse,2024-03-08
CUS_126,Browse,2024-03-11
CUS_126,Browse,2024-03-13
CUS_126,Browse,2024-03-17
CUS_126,Browse,2024-03-21
CUS_127,Sign_Up,2024-05-26
CUS_127,Browse,2024-05-28
CUS_127,Add_to_Cart,2024-05-28
CUS_127,Browse,2024-05-31
CUS_127,Browse,2024-06-04
CUS_127,Browse,2024-06-07
CUS_127,Browse,2024-06-09
CUS_127,Browse,2024-06-11
CUS_127,Browse,2024-06-15
